tracking_domain;consent_category;vendor_name;tracker_type;tracker_name;tracker_purpose;tracker_duration;3rd_party_sharing;first_found_at;party_type;Vendor Description
cdn.speedcurve.com;Performance cookies;Speedcurve;JavaScript;-;;;;https://www.CLIENT_X.com/global;New Third Party Trackers;Monitor the front-end performance and build of your website. Compare yourself to others and beat the competition. 
CLIENT_X.112.2o7.net;Performance cookies;Adobe Audience Manager, Adobe Experience Cloud;HTTP Cookie;s_vi;;400;;https://www.CLIENT_X.com/global;New Third Party Trackers; Adobe Audience Manager is a data management platform that helps build audience profiles so you can identify your valuable segments and use them across any digital channel.
CLIENT_X.com;Essential cookies;Koninklijke CLIENT_X N.V.;HTTP Cookie;FPAU;;89;;https://www.CLIENT_X.com/global;New First Party Trackers;CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
CLIENT_X.com;Essential cookies;Koninklijke CLIENT_X N.V.;HTTP Cookie;s_fid;;400;;https://www.CLIENT_X.com/global;New First Party Trackers;CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
www.CLIENT_X.com;Essential cookies;Koninklijke CLIENT_X N.V.;HTTP Cookie;_ga;;400;;https://www.CLIENT_X.com/global;New First Party Trackers;CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
www.CLIENT_X.com;Essential cookies;Koninklijke CLIENT_X N.V.;HTTP Cookie;_ga_XG6WWE9DCR;;400;;https://www.CLIENT_X.com/global;New First Party Trackers;CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
www.CLIENT_X.com;Essential cookies;Koninklijke CLIENT_X N.V.;HTTP Cookie;kampyleUserPercentile;;365;;https://www.CLIENT_X.com/global;New First Party Trackers;CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
www.CLIENT_X.com;Essential cookies;Koninklijke CLIENT_X N.V.;HTTP Cookie;lux_uid;;0;;https://www.CLIENT_X.com/global;New First Party Trackers;CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
consent-pref.trustarc.com;Essential cookies;TrustArc;Local Storage;-;Javascript is used to download functionality from the vendor on the browser.;;TRUE;https://www.CLIENT_X.com/global;Existing CM Trackers-Found;TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.
consent-pref.trustarc.com;Essential cookies;TrustArc;JavaScript;-;Javascript is used to download functionality from the vendor on the browser.;;TRUE;https://www.CLIENT_X.com/global;Existing CM Trackers-Found;TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.
consent-st.trustarc.com;Essential cookies;TrustArc;JavaScript;-;Javascript is used to download functionality from the vendor on the browser.;;TRUE;https://www.CLIENT_X.com/global;Existing CM Trackers-Found;TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.
